id,name,google_place_id,address,latitude,longitude,independent,coffee_quality,seating,quiet,outdoor_seating,laptop_friendly,meeting_suitability,google_rating,google_review_count
sons,sons,ChIJLd7dbGAbdkgRgerK6MpxynA,"Tintagel House, 92 Albert Embankment, London SE1 7TY, UK",51.4888711,-0.1235293,TRUE,,,,,,,3.7,36
climpson_and_sons,Climpson & Sons,ChIJWVpjf8IcdkgROoN1dnL8tq0,"5 Helmsley Pl, London E8 3SB, UK",51.5394266,-0.058705799999999995,TRUE,,,,,,,4.4,8
pophams_hackney,Pophams Hackney,ChIJYb_MfNUddkgR59EyFxTw62w,"197 Richmond Rd, London E8 3NJ, UK",51.5436252,-0.0575894,TRUE,,,,,,,4.5,1257
215_hackney,215 Hackney,Eh0yMTUgSGFja25leSBSZCwgTG9uZG9uIEUyLCBVSyIxEi8KFAoSCVP_bVS_HHZIEaLKpE_zbvksENcBKhQKEgnlVnwnxxx2SBFTBMvRQi6YyA,"215 Hackney Rd, London, UK",51.531271499999995,-0.07087820000000002,TRUE,,,,,,,,
the_snapery_east,The Snapery East,ChIJD9BaJuYcdkgR6plqUvIQ6Qk,"373 Helmsley Pl, London E8 3SB, UK",51.539370399999996,-0.058392900000000005,TRUE,,,,,,,4.4,391
wilton_way_cafe,Wilton Way Cafe,ChIJq_j3zO8cdkgRnD8n_4408a4,"63 Wilton Way, London E8 1BG, UK",51.5456764,-0.06150569999999999,TRUE,,,,TRUE,,,4.3,126
esters,Esters,ChIJsx1ZtmMcdkgRNpAH_DdQj3E,"55 Kynaston Rd, London N16 0EB, UK",51.560065599999994,-0.07802769999999999,TRUE,,,,TRUE,,,4.5,407
batch_baby,Batch Baby,ChIJdaPpbykddkgRriPViOmOjTY,"Rose Lipman Building, 43 De Beauvoir Rd, London N1 5SF, UK",51.5391583,-0.0813921,TRUE,,,,TRUE,,,4.7,428
paradox_design_coffee,Paradox Design + Coffee,ChIJyRyDs5gddkgRciwH516VRFs,"Unit A, Market, Netil House, 13 - 23 Westgate St, London E8 3RL, UK",51.5375921,-0.058737399999999995,TRUE,,,,TRUE,,,4.6,219
petit_grind,Petit Grind,ChIJcXGKtjkddkgRgbKUqXPK0nw,"30a Balls Pond Rd, London N1 4AU, UK",51.546240999999995,-0.0771723,TRUE,,,,TRUE,,,4.8,112
monmouth_coffee_company_borough_market,Monmouth Coffee Company Borough Market,ChIJ94DTm1cDdkgRibmgxzXy2EQ,"2 Park St, London SE1 9AB, UK",51.5055334,-0.0914069,TRUE,,,,FALSE,,,4.5,3016
saint_nine_coffee,Saint Nine Coffee,ChIJ_eb_vDYFdkgRR4N94aXl7BE,"67 Southwark St, London SE1 0HX, UK",51.5052909,-0.09845079999999999,TRUE,,,,TRUE,,,4.9,343
the_gentlemen_baristas_park_street,The Gentlemen Baristas Park Street,ChIJiyhde84DdkgRPkXwAwQgaH4,"11 Park St, London SE1 9AB, UK",51.5052138,-0.09185770000000001,TRUE,,,,TRUE,,,4.6,387
old_spike_peckham,Old Spike Peckham,ChIJjYPdp6MDdkgRzzenMJuzBUE,"54 Peckham Rye, London SE15 4JR, UK",51.4651552,-0.0666088,TRUE,,,,,,,4.7,340
